ALTER,GESCHLECHT,RASSE1,RASSE1_MISCHLING,GEBURTSJAHR_HUND,GESCHLECHT_HUND,HUNDEFARBE
61-70,m,Welsh Terrier,,2011,w,schwarz/braun
61-70,m,Berner Sennenhund,,2009,m,tricolor
61-70,w,Mischling gross,,2013,w,schwarz
41-50,m,Labrador Retriever,,2012,w,braun
61-70,w,Mittelschnauzer,,2010,w,schwarz
51-60,m,Shih Tzu,,2011,m,schwarz/weiss
61-70,w,Dackel,,2010,m,braun
41-50,w,Bichon frisé,,2012,m,weiss
51-60,w,Lagotto Romagnolo,,2016,w,weiss/beige
61-70,w,Zwergdackel,,2002,m,schwarz/grau
71-80,w,Havaneser,,2016,w,hellbraun/weiss
41-50,w,Bergamasker,Mischling,2004,w,schwarz
41-50,w,Border Collie,Mischling,2001,m,schwarz
61-70,w,Pinscher,Mischling,2013,w,braun/schwarz
71-80,w,Labrador Retriever,,2012,w,beige
61-70,w,Chihuahua,,2014,w,schwarz/weiss/braun
61-70,w,Chihuahua,,2011,w,hellbraun
51-60,m,Golden Retriever,,2013,w,creme
51-60,m,Mischling klein,,2007,m,schwarz
41-50,m,Weimaraner,,2013,w,silber
51-60,m,Tibetan Spaniel,,2013,w,schwarz/braun
51-60,m,Chihuahua,,2013,w,beige
51-60,m,Leonberger,,2011,m,goldbraun
51-60,m,Shiba Inu,,2003,w,rotbraun
61-70,m,Labrador Retriever,,2016,w,gelb
51-60,m,Labrador Retriever,,2014,w,schwarz
61-70,m,Beagle,,2010,w,tricolor
61-70,m,Lagotto Romagnolo,,2007,m,braun
71-80,m,Border Terrier,,2011,w,tricolor
61-70,m,Magyar Viszla,,2005,w,gelb
51-60,m,Französische Bulldogge,,2013,m,weiss/schwarz
51-60,m,Jack Russel Terrier,,2015,w,weiss/braun
61-70,m,Cocker Spaniel,,2014,m,schwarz
61-70,m,Pointer,Mischling,2016,m,schwarz
61-70,m,Pointer,,2012,w,schwarz/braun
61-70,m,Jack Russel Terrier,,2005,w,tricolor
51-60,w,Mops,,2011,m,beige
41-50,m,Mops,,2011,m,beige
51-60,m,Staffordshire Bull Terrier,,2005,w,mahagoni/weiss
51-60,m,Mischling klein,,2004,m,braun
61-70,w,Grosspudel,,2012,w,weiss
41-50,w,Lhasa Apso,,2015,w,golden
51-60,w,Chihuahua,,2010,w,beige
51-60,w,Chihuahua,,2010,m,black/tan
51-60,m,Englische Bulldogge,,2011,m,braun/weiss
61-70,m,English Springer Spaniel,,2005,m,braun/weiss
61-70,m,Mischling klein,,2008,w,weiss/schwarz/braun
51-60,m,Langhaardackel,,2005,w,hellbraun
61-70,m,Zwergdachshund,,2004,w,saufarben
61-70,m,Zwergpinscher,,2015,m,schwarz/braun
81-90,m,Biewer Yorkshire Terrier,,2015,w,tricolor
41-50,m,Chihuahua,,2007,w,weiss/grau
41-50,m,Chihuahua,,2015,w,schwarz/weiss
41-50,m,Chihuahua,,2010,m,schwarz
61-70,m,Parson Jack Russell Terrier,,2015,m,weiss/blau
51-60,m,Malteser,,2013,w,weiss
51-60,m,Labrador Retriever,,2011,w,schwarz
41-50,w,Husky,,2010,w,weiss
61-70,m,Zwergspitz,,2016,m,weiss
51-60,m,Border Collie,,2015,m,tricolor
41-50,w,Jack Russel Terrier,,2008,m,tricolor
51-60,m,Malteser,,2014,m,weiss
61-70,m,Bolonka Zwetna,,2012,m,schwarz
61-70,w,Neufundländer,,2016,m,braun/weiss
51-60,w,Mischling klein,,2007,w,braun
51-60,m,Labrador Retriever,Mischling,2009,w,schwarz
41-50,w,Spitz,,2015,m,braun/schwarz
31-40,w,Parson Russell Terrier,,2007,m,tricolor
31-40,w,Chihuahua,,2008,m,weiss/grau
61-70,m,Terrier,Mischling,2002,m,black/tan
41-50,m,Berger blanc Suisse,,2006,m,weiss
51-60,m,Zwergpudel,,2012,m,apricot
61-70,m,Shiba Inu,Mischling,2014,w,beige
61-70,m,Mischling gross,,2011,m,creme
41-50,m,Grosspudel,,2012,m,braun
51-60,m,Französische Bulldogge,,2012,m,blue
71-80,w,Spitz,Mischling,2013,m,weiss/beige
61-70,m,Foxterrier,,2005,m,tricolor
41-50,m,Labrador Retriever,,2009,m,schwarz
51-60,m,Kooiker,,2010,w,weiss/orange
51-60,m,Mischling klein,,2001,w,grau gestromt
51-60,m,Berner Sennenhund,,2014,m,tricolor
51-60,w,Mittelpudel,,2013,w,schwarz
41-50,m,Cocker Spaniel,,2014,m,orange Schimmel
61-70,w,Cairn Terrier,,2011,m,rot/beige
31-40,m,Yorkshire Terrier,,2011,w,black/tan
61-70,m,Boxer,,2013,m,braun/weiss
61-70,w,Pinscher,,2012,w,schwarz
61-70,w,Pudel,,2012,m,braun
61-70,w,Labradoodle,,2016,m,creme
51-60,w,Yorkshire Terrier,,2007,w,blue/tan
71-80,m,Labrador Retriever,,2004,m,blondfarben
71-80,m,Lagotto Romagnolo,,2009,m,weiss/orange
81-90,m,Jack Russel Terrier,,2002,m,tricolor
71-80,m,Dobermann,,2003,w,schwarz/braun
71-80,m,Mischling klein,,2013,w,schwarz/weiss
51-60,m,Deutscher Schäfer,,2005,w,grau/schwarz
61-70,w,Mischling klein,,2013,m,dunkelbraun
61-70,w,Border Terrier,,2004,m,rot/grau/schwarz
71-80,m,Mudi,,2010,m,blondfarben
71-80,m,Boxer,,2014,w,gestromt
71-80,m,Papillon,,2004,w,schwarz/weiss
61-70,m,Yorkshire Terrier,,2007,w,graubraun
81-90,m,Mischling klein,,2003,m,braun/weiss
71-80,m,Dachshund,,2012,w,saufarben
61-70,m,Mischling klein,,2007,w,rot/weiss
51-60,m,Mischling klein,,2004,w,weiss/braun
51-60,m,Border Collie,Mischling,2003,m,schwarz/weiss
61-70,w,Mops,,2002,m,beige
61-70,w,Mops,,2002,m,schwarz
51-60,m,Italienisches Windspiel,,2011,m,blau
61-70,w,Lagotto Romagnolo,,2005,w,braun
51-60,m,Holländischer Schäfer,,2009,m,gestromt
51-60,w,Welsh Springer Spaniel,,2002,w,rot/weiss
51-60,w,Yorkshire Terrier,,2007,m,black/tan
41-50,w,Berner Sennenhund,,2010,w,tricolor
61-70,w,Labrador Retriever,,2002,w,braun
61-70,w,Labrador Retriever,,2006,m,schwarz
51-60,w,Labrador Retriever,,2013,m,gelb
51-60,m,Deutsche Dogge,,2013,w,gelb
51-60,m,Labrador Retriever,,2006,m,braun
51-60,m,Deutscher Schäfer,,2008,w,schwarz/braun/weiss
61-70,m,Mischling klein,,2006,w,tricolor
41-50,m,Magyar Viszla,,2010,m,gelb
61-70,m,Labrador Retriever,,2007,w,braun
61-70,m,Labrador Retriever,,2011,w,braun
61-70,w,Zwergpudel,,2008,w,apricot
51-60,w,Mischling gross,,2012,m,braun/beige
51-60,w,Havaneser,,2015,m,braun/rot
