SpeciesIDDesc,BreedIDDesc,GenderIDDesc,color,vaccination_yrs,WhereBittenIDDesc,ResultsIDDesc,Year,Month,Day
DOG,,FEMALE,LIG. BROWN,1,BODY,UNKNOWN,1985,5,5
DOG,,UNKNOWN,BRO & BLA,,BODY,UNKNOWN,1986,2,12
DOG,,UNKNOWN,,,BODY,UNKNOWN,1987,5,7
DOG,,MALE,BLA & BRO,,BODY,UNKNOWN,1988,10,2
DOG,,FEMALE,BLK-WHT,,BODY,UNKNOWN,1989,8,29
DOG,,UNKNOWN,,,BODY,UNKNOWN,1989,11,24
DOG,,FEMALE,BLACK/WHIT,1,BODY,UNKNOWN,1990,2,8
DOG,,MALE,BLK-WHT,,BODY,UNKNOWN,1990,2,22
DOG,,MALE,BROWN,,BODY,UNKNOWN,1990,8,2
DOG,,UNKNOWN,BRN-TAN,,BODY,UNKNOWN,1990,8,19
DOG,,MALE,TRI,,HEAD,UNKNOWN,1990,8,31
DOG,,MALE,BLK,,BODY,UNKNOWN,1990,10,20
DOG,,MALE,BLK-BRN,,BODY,UNKNOWN,1991,2,9
DOG,,MALE,BLK-BRN,,BODY,UNKNOWN,1991,7,5
DOG,,MALE,WHT,,BODY,UNKNOWN,1991,9,14
DOG,,FEMALE,WHT-BRN,,HEAD,UNKNOWN,1991,10,9
DOG,,UNKNOWN,,,BODY,UNKNOWN,1991,11,7
DOG,,MALE,BLK,,BODY,UNKNOWN,1992,2,8
DOG,,MALE,BLK-TAN,,BODY,UNKNOWN,1992,2,27
DOG,,MALE,WHT,,BODY,UNKNOWN,1992,3,6
CAT,,UNKNOWN,,,HEAD,UNKNOWN,1992,3,18
DOG,,UNKNOWN,BLK,,BODY,UNKNOWN,1992,4,6
DOG,,UNKNOWN,BLK,,BODY,UNKNOWN,1992,5,6
DOG,,MALE,BRN,,BODY,UNKNOWN,1992,6,4
DOG,,FEMALE,RED,,BODY,UNKNOWN,1992,6,29
DOG,,UNKNOWN,WHITE,,BODY,UNKNOWN,1992,8,6
DOG,,MALE,BRN-BLK,,BODY,UNKNOWN,1992,8,26
DOG,,UNKNOWN,,,BODY,UNKNOWN,1993,4,4
CAT,,UNKNOWN,,,BODY,UNKNOWN,1993,4,6
DOG,,MALE,BRN,,HEAD,UNKNOWN,1993,5,12
DOG,,UNKNOWN,,,BODY,UNKNOWN,1993,6,20
DOG,,FEMALE,BRN,,BODY,UNKNOWN,1993,7,9
DOG,,UNKNOWN,,,BODY,UNKNOWN,1993,12,4
DOG,,MALE,BRN-BLK,,BODY,UNKNOWN,1994,3,31
DOG,,MALE,BLK,,BODY,UNKNOWN,1994,4,11
DOG,,UNKNOWN,,,BODY,UNKNOWN,1994,5,8
DOG,,FEMALE,MULT COLOR,,HEAD,UNKNOWN,1994,5,10
DOG,,MALE,TRI,,BODY,UNKNOWN,1994,5,22
DOG,,UNKNOWN,,,BODY,UNKNOWN,1994,6,10
DOG,,UNKNOWN,,,BODY,UNKNOWN,1994,7,21
CAT,,FEMALE,GRAY,,BODY,UNKNOWN,2009,10,29
DOG,,MALE,TAN-BRN,1,BODY,UNKNOWN,2009,12,2
DOG,,MALE,BLK-BRN,,BODY,UNKNOWN,2009,12,11
DOG,,UNKNOWN,BLACK,,HEAD,UNKNOWN,2009,12,21
DOG,,MALE,BRN-WHT,1,HEAD,UNKNOWN,2009,12,24
DOG,,UNKNOWN,BLACK,,BODY,UNKNOWN,2009,12,24
DOG,,UNKNOWN,BLACK,,HEAD,UNKNOWN,2009,12,28
DOG,,FEMALE,WHT-BRN,3,BODY,UNKNOWN,2009,12,29
DOG,,FEMALE,WHITE,3,BODY,UNKNOWN,2009,12,30
DOG,,MALE,BLK-WHT,,BODY,UNKNOWN,2009,12,30
DOG,,FEMALE,BLK-WHT,1,BODY,UNKNOWN,2009,12,30
