movie,year,genre,length,gross,audience,critic,votes
Gladiator,2000,Action,155,187.71,8.5,67,1096457
Memento,2000,Mystery,113,25.54,8.5,80,942923
Snatch - Tu braques ou tu raques,2000,Comedy,104,30.33,8.3,55,663244
Requiem for a Dream,2000,Drama,102,3.64,8.3,68,640047
X-Men,2000,Action,104,157.3,7.4,64,498388
Seul au monde,2000,Adventure,143,233.63,7.8,73,435798
American Psycho,2000,Crime,102,15.07,7.6,64,396271
Incassable,2000,Drama,106,95.01,7.2,62,284747
Mon beau-père et moi,2000,Comedy,108,166.24,7,73,277723
M-I:2 Mission: Impossible 2,2000,Action,123,215.41,6.1,59,263188
O' Brother,2000,Adventure,107,45.51,7.8,69,244858
60 secondes chrono,2000,Action,118,101.65,6.5,35,232856
Tigre et dragon,2000,Action,120,128.08,7.9,93,229667
The patriot: Le chemin de la liberté,2000,Action,165,113.33,7.2,63,223789
Presque célèbre,2000,Adventure,122,32.53,7.9,90,222109
Pitch Black,2000,Horror,109,39.24,7.1,49,204849
Scary Movie,2000,Comedy,88,157.02,6.2,48,201618
Fou(s) d'Irène,2000,Comedy,116,90.57,6.6,49,198511
Destination finale,2000,Horror,98,53.33,6.7,36,196668
La plage,2000,Adventure,119,39.79,6.6,43,193719
Amours chiennes,2000,Drama,154,5.38,8.1,83,190248
Traffic,2000,Crime,147,124.12,7.6,86,178704
Le plus beau des combats,2000,Biography,113,115.65,7.8,48,173461
Ce que veulent les femmes,2000,Comedy,127,182.81,6.4,47,170777
Le Grinch,2000,Comedy,104,260.04,6.1,46,160752
Le chocolat,2000,Drama,121,71.51,7.3,64,160163
Charlie et ses drôles de dames,2000,Action,98,125.31,5.5,52,154200
Miss Détective,2000,Action,109,106.81,6.2,43,153076
Chicken Run,2000,Animation,84,106.83,7,88,152501
High Fidelity,2000,Comedy,113,27.28,7.5,79,151511
Battle Royale,2000,Adventure,114,0,7.7,81,149417
"Erin Brockovich, seule contre tous",2000,Biography,131,125.6,7.3,73,147183
"Kuzco, l'empereur mégalo",2000,Animation,78,89.3,7.3,70,144082
Road Trip,2000,Adventure,93,68.54,6.5,55,141540
En pleine tempête,2000,Action,130,182.62,6.4,59,140401
Eh mec! Elle est où ma caisse?,2000,Comedy,83,46.73,5.5,30,122859
Hollow man - L'homme sans ombre,2000,Action,112,73.21,5.7,24,108636
Scream 3,2000,Horror,116,89.14,5.5,56,106473
Billy Elliot,2000,Drama,110,22,7.7,74,105584
À l'aube du 6ème jour,2000,Action,123,34.6,5.9,49,105553
Shanghai Kid,2000,Action,110,56.94,6.6,77,104646
Apparences,2000,Drama,130,155.46,6.6,51,104371
Un monde meilleur,2000,Drama,123,33.52,7.2,40,102441
Mon voisin le tueur,2000,Comedy,98,57.26,6.7,47,96551
Coyote Girls,2000,Comedy,100,60.79,5.6,27,96031
Les chemins de la dignité,2000,Biography,129,48.82,7.2,56,95803
Family Man,2000,Comedy,125,75.79,6.7,42,91661
In the Mood for Love,2000,Drama,98,2.73,8.1,85,89093
Fréquence interdite,2000,Crime,118,45.01,7.4,67,88713
Endiablé,2000,Comedy,93,37.88,6,49,86808
Dancer in the Dark,2000,Crime,140,4.18,8,61,86370
Little Nicky,2000,Comedy,90,39.46,5.3,38,86221
The Cell,2000,Horror,107,61.33,6.3,40,85026
À la rencontre de Forrester,2000,Drama,136,51.8,7.3,62,76105
American Girls,2000,Comedy,98,68.38,6,52,75314
Malena,2000,Comedy,109,3.43,7.5,54,72739
Big Mamma,2000,Action,99,117.56,5.1,33,71806
U-571,2000,Action,116,77.09,6.6,62,69179
Battlefield Earth - Terre champ de bataille,2000,Action,118,21.47,2.4,9,68632
La route d'Eldorado,2000,Animation,89,50.86,6.9,51,67115
Space Cowboys,2000,Action,130,90.46,6.4,73,64294
Mission to Mars,2000,Adventure,114,60.88,5.6,34,64027
Shaft,2000,Action,99,70.33,5.9,50,62047
Roméo doit mourir,2000,Action,115,55.97,6.1,52,60256
Wonder Boys,2000,Comedy,107,19.39,7.4,73,56843
Intuitions,2000,Drama,112,12.01,6.7,62,55704
Titan A.E.,2000,Animation,94,22.75,6.6,48,54391
Vertical Limit,2000,Action,124,69.24,5.9,48,52577
Les rivières pourpres,2000,Crime,106,0.63,6.9,49,51765
Les remplaçants,2000,Comedy,118,44.74,6.5,30,51455
L'échange,2000,Action,135,32.6,6.2,45,51252
Planète rouge,2000,Action,106,17.48,5.7,34,50290
Bêtes de scène,2000,Comedy,90,18.62,7.5,78,48808
La légende de Bagger Vance,2000,Drama,126,30.7,6.7,47,48360
Treize jours,2000,Drama,145,34.59,7.3,67,48119
"Quills, la plume et le sang",2000,Biography,124,7.06,7.3,70,47063
Sexy Beast,2000,Crime,89,6.95,7.3,79,46760
Au nom d'Anna,2000,Comedy,128,37.05,6.4,60,46478
Les initiés,2000,Crime,120,16.94,7,63,44197
Dinosaure,2000,Animation,82,137.75,6.5,56,42865
La famille Foldingue,2000,Comedy,106,123.31,4.3,38,42288
Les neuf reines,2000,Crime,114,1.22,7.9,80,42242
L'enfer du devoir,2000,Drama,128,61.34,6.4,45,39718
28 jours en sursis,2000,Comedy,103,37.17,6,46,37419
Sale môme,2000,Comedy,104,69.69,6.1,45,36345
L'ombre du vampire,2000,Drama,92,8.28,6.9,71,35925
